Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.212595	0.482841	92.820000	84.780000	
0.100000	0.216698	0.479066	92.580000	84.150000	
0.100000	0.211842	0.570663	92.720000	81.910000	
0.100000	0.208568	0.643589	92.778000	80.520000	
0.100000	0.210335	0.481474	92.832000	84.470000	
0.100000	0.212826	0.505746	92.714000	83.830000	
0.100000	0.211772	0.483434	92.756000	84.260000	
0.010000	0.082314	0.276713	97.548000	90.800000	
0.010000	0.036703	0.271354	99.072000	91.340000	
0.010000	0.021712	0.270958	99.576000	91.520000	
0.010000	0.014662	0.274178	99.768000	91.540000	
0.010000	0.010155	0.275004	99.902000	91.690000	
0.010000	0.007915	0.276103	99.932000	91.650000	
0.010000	0.006587	0.278668	99.948000	91.740000	
0.010000	0.004965	0.279127	99.992000	91.830000	
0.010000	0.004341	0.278925	99.990000	91.850000	
0.010000	0.004012	0.278319	99.992000	91.770000	
0.010000	0.003643	0.276916	99.994000	91.770000	
0.010000	0.003461	0.274459	99.996000	91.820000	
0.010000	0.003196	0.275839	100.000000	91.960000	
0.010000	0.003090	0.274255	100.000000	92.080000	
0.010000	0.002970	0.273854	100.000000	92.020000	
0.010000	0.002779	0.273952	100.000000	92.060000	
0.010000	0.002741	0.272305	100.000000	92.030000	
0.010000	0.002727	0.272278	100.000000	91.970000	
0.010000	0.002657	0.268995	100.000000	92.030000	
0.010000	0.002597	0.270440	100.000000	92.160000	
0.010000	0.002518	0.268817	100.000000	92.070000	
0.010000	0.002493	0.268635	100.000000	91.950000	
0.010000	0.002453	0.269516	100.000000	92.050000	
0.010000	0.002445	0.267978	100.000000	92.140000	
0.010000	0.002406	0.267710	100.000000	92.020000	
0.010000	0.002358	0.267679	100.000000	92.030000	
0.010000	0.002310	0.265748	100.000000	92.130000	
0.010000	0.002237	0.264390	100.000000	92.110000	
0.010000	0.002284	0.265612	100.000000	92.040000	
0.010000	0.002242	0.263694	100.000000	92.150000	
0.001000	0.002196	0.265020	100.000000	92.090000	
0.001000	0.002204	0.264206	100.000000	92.050000	
0.001000	0.002180	0.265082	100.000000	92.170000	
0.001000	0.002205	0.264814	100.000000	92.160000	
0.001000	0.002162	0.264437	100.000000	92.110000	
0.001000	0.002192	0.265398	100.000000	92.040000	
0.001000	0.002153	0.266088	100.000000	92.250000	
0.001000	0.002173	0.264717	100.000000	92.130000	
0.001000	0.002224	0.265458	100.000000	92.180000	
0.001000	0.002202	0.263723	100.000000	92.160000	
0.001000	0.002147	0.264426	100.000000	92.170000	
0.001000	0.002184	0.263743	100.000000	92.170000	
0.001000	0.002155	0.262914	100.000000	92.230000	
0.001000	0.002142	0.264236	100.000000	92.080000	
0.001000	0.002187	0.264397	100.000000	92.130000	
0.001000	0.002189	0.263492	100.000000	92.000000	
0.001000	0.002098	0.262380	100.000000	92.160000	
0.001000	0.002098	0.264272	100.000000	92.160000	
0.001000	0.002205	0.264403	100.000000	92.170000	
0.001000	0.002196	0.264737	100.000000	92.080000	
