Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	0.232933	0.532165	0.032173	92.094009	82.650000	98.950000	
0.100000	0.228117	0.823255	0.000009	92.106522	76.480000	100.000000	
0.100000	0.224310	0.564734	0.000056	92.444367	82.200000	100.000000	
0.100000	0.234689	0.749587	0.000001	91.879207	76.580000	100.000000	
0.100000	0.232485	0.636151	0.000372	92.094009	79.460000	99.990000	
0.100000	0.229246	0.650673	0.025856	92.164915	78.200000	99.280000	
0.100000	0.231748	0.557966	0.013793	91.987651	81.990000	99.530000	
0.100000	0.225775	0.530780	0.034648	92.383888	82.160000	98.990000	
0.100000	0.228681	0.523359	0.000086	92.219137	83.370000	100.000000	
0.100000	0.230617	0.574866	0.007994	92.000163	81.860000	99.760000	
0.100000	0.229773	0.859633	0.001786	92.269188	74.840000	99.940000	
0.100000	0.232284	0.483975	0.000329	92.129462	84.120000	100.000000	
0.100000	0.224891	0.594469	0.011939	92.340094	80.300000	99.700000	
0.100000	0.230533	0.548714	0.000413	92.077326	81.720000	99.980000	
0.100000	0.232154	0.578022	0.000240	92.146146	81.060000	100.000000	
0.100000	0.224931	0.647461	0.006461	92.317154	78.800000	99.840000	
0.100000	0.225134	0.643986	0.000001	92.267103	79.750000	100.000000	
0.100000	0.228073	0.535903	0.000738	92.267103	82.670000	100.000000	
0.100000	0.228529	0.524908	0.000121	92.146146	83.220000	99.990000	
0.100000	0.226403	0.575418	0.000037	92.229564	81.500000	100.000000	
0.100000	0.229988	0.636469	0.000083	92.056471	80.210000	100.000000	
0.100000	0.225960	0.553940	0.027333	92.323410	82.240000	99.250000	
0.100000	0.225459	0.620050	0.002525	92.310897	79.880000	99.950000	
0.100000	0.225546	0.796077	0.155147	92.244162	75.070000	94.770000	
0.100000	0.229872	0.514871	0.000140	92.277530	83.280000	100.000000	
0.100000	0.228146	0.625643	0.000345	92.254590	80.240000	100.000000	
0.100000	0.224658	0.585715	0.013092	92.302555	80.710000	99.570000	
0.100000	0.221993	0.710828	0.024093	92.529871	78.730000	99.120000	
0.100000	0.225756	0.670777	0.028109	92.150317	79.000000	99.180000	
0.100000	0.225066	0.665211	0.000001	92.262932	79.170000	100.000000	
0.100000	0.224434	0.586157	0.000645	92.246248	80.850000	99.980000	
0.100000	0.217099	0.497367	0.007374	92.554896	83.400000	99.820000	
0.100000	0.225763	0.530399	0.000031	92.448538	83.330000	100.000000	
